Method,Grams,Ratio,temp,C40
V60,12-15, 10 -  12,92-94,22-24
V60,12-15, 13 -  14,91-93,24-26
V60,12-15, 15 -  17,90-92,26-28
V60,12-15, 18 -  20,89-91,28-30
V60,16-20, 10 -  12,92-94,20-22
V60,16-20, 13 -  14,91-93,22-24
V60,16-20, 15 -  17,90-92,24-26
V60,16-20, 18 -  20,89-91,26-28
V60,21-25, 10 -  12,93-94,18-20
V60,21-25, 13 -  14,92-94,20-22
V60,21-25, 15 -  17,91-93,22-24
V60,21-25, 18 -  20,90-92,24-26
V60,26-30, 10 -  12,93-94,18-20
V60,26-30, 13 -  14,92-94,20-22
V60,26-30, 15 -  17,91-93,22-24
V60,26-30, 18 -  20,90-92,24-26
Kalita,12-15, 10 -  12,92-94,25-27
Kalita,12-15, 13 -  14,91-93,27-29
Kalita,12-15, 15 -  17,90-92,28-30
Kalita,12-15, 18 -  20,89-91,30-32
Kalita,16-20, 10 -  12,92-94,23-25
Kalita,16-20, 13 -  14,91-93,25-27
Kalita,16-20, 15 -  17,90-92,27-29
Kalita,16-20, 18 -  20,89-91,29-31
Kalita,21-25, 10 -  12,93-94,22-24
Kalita,21-25, 13 -  14,92-94,24-26
Kalita,21-25, 15 -  17,91-93,26-28
Kalita,21-25, 18 -  20,90-92,28-30
Kalita,26-30, 10 -  12,93-94,22-24
Kalita,26-30, 13 -  14,92-94,24-26
Kalita,26-30, 15 -  17,91-93,26-28
Kalita,26-30, 18 -  20,90-92,28-30
Origami,12-15, 10 -  12,91-93,24-26
Origami,12-15, 13 -  14,90-92,26-28
Origami,12-15, 15 -  17,89-91,28-30
Origami,12-15, 18 -  20,88-90,30-32
Origami,16-20, 10 -  12,91-93,22-24
Origami,16-20, 13 -  14,90-92,24-26
Origami,16-20, 15 -  17,89-91,26-28
Origami,16-20, 18 -  20,88-90,28-30
Origami,21-25, 10 -  12,92-94,20-22
Origami,21-25, 13 -  14,91-93,22-24
Origami,21-25, 15 -  17,90-92,24-26
Origami,21-25, 18 -  20,89-91,26-28
Origami,26-30, 10 -  12,92-94,20-22
Origami,26-30, 13 -  14,91-93,22-24
Origami,26-30, 15 -  17,90-92,24-26
Origami,26-30, 18 -  20,89-91,26-28
Aeropress,12-15, 10 -  12,87-89,21-23
Aeropress,12-15, 13 -  14,86-88,22-24
Aeropress,12-15, 15 -  17,85-87,24-26
Aeropress,12-15, 18 -  20,84-86,26-28
Aeropress,16-20, 10 -  12,88-90,20-22
Aeropress,16-20, 13 -  14,87-89,22-24
Aeropress,16-20, 15 -  17,86-88,24-26
Aeropress,16-20, 18 -  20,85-87,26-28
Aeropress,21-25, 10 -  12,88-90,18-20
Aeropress,21-25, 13 -  14,87-89,20-22
Aeropress,21-25, 15 -  17,86-88,22-24
Aeropress,21-25, 18 -  20,85-87,24-26
Aeropress,26-30, 10 -  12,88-90,18-20
Aeropress,26-30, 13 -  14,87-89,20-22
Aeropress,26-30, 15 -  17,86-88,22-24
Aeropress,26-30, 18 -  20,85-87,24-26
Graycano,12-15, 10 -  12,92-94,24-26
Graycano,12-15, 13 -  14,91-93,26-28
Graycano,12-15, 15 -  17,90-92,28-30
Graycano,12-15, 18 -  20,89-91,30-32
Graycano,16-20, 10 -  12,92-94,22-24
Graycano,16-20, 13 -  14,91-93,24-26
Graycano,16-20, 15 -  17,90-92,26-28
Graycano,16-20, 18 -  20,89-91,28-30
Graycano,21-25, 10 -  12,93-94,20-22
Graycano,21-25, 13 -  14,92-94,22-24
Graycano,21-25, 15 -  17,91-93,24-26
Graycano,21-25, 18 -  20,90-92,26-28
Graycano,26-30, 10 -  12,93-94,20-22
Graycano,26-30, 13 -  14,92-94,22-24
Graycano,26-30, 15 -  17,91-93,24-26
Graycano,26-30, 18 -  20,90-92,26-28
UFO,12-15, 10 -  12,92-94,25-27
UFO,12-15, 13 -  14,91-93,27-29
UFO,12-15, 15 -  17,90-92,28-30
UFO,12-15, 18 -  20,89-91,30-32
UFO,16-20, 10 -  12,92-94,23-25
UFO,16-20, 13 -  14,91-93,25-27
UFO,16-20, 15 -  17,90-92,27-29
UFO,16-20, 18 -  20,89-91,29-31
UFO,21-25, 10 -  12,93-94,22-24
UFO,21-25, 13 -  14,92-94,24-26
UFO,21-25, 15 -  17,91-93,26-28
UFO,21-25, 18 -  20,90-92,28-30
UFO,26-30, 10 -  12,93-94,22-24
UFO,26-30, 13 -  14,92-94,24-26
UFO,26-30, 15 -  17,91-93,26-28
UFO,26-30, 18 -  20,90-92,28-30
Brewista Tornado,12-15, 10 -  12,92-94,23-25
Brewista Tornado,12-15, 13 -  14,91-93,25-27
Brewista Tornado,12-15, 15 -  17,90-92,27-29
Brewista Tornado,12-15, 18 -  20,89-91,29-31
Brewista Tornado,16-20, 10 -  12,92-94,21-23
Brewista Tornado,16-20, 13 -  14,91-93,23-25
Brewista Tornado,16-20, 15 -  17,90-92,25-27
Brewista Tornado,16-20, 18 -  20,89-91,27-29
Brewista Tornado,21-25, 10 -  12,93-94,20-22
Brewista Tornado,21-25, 13 -  14,92-94,22-24
Brewista Tornado,21-25, 15 -  17,91-93,24-26
Brewista Tornado,21-25, 18 -  20,90-92,26-28
Brewista Tornado,26-30, 10 -  12,93-94,20-22
Brewista Tornado,26-30, 13 -  14,92-94,22-24
Brewista Tornado,26-30, 15 -  17,91-93,24-26
Brewista Tornado,26-30, 18 -  20,90-92,26-28
